type,question_id,question,button_name,country
"men,divorce","men,divorce,Pakistan",The majority of men in Pakistan view divorce as,How men feel about divorce,Pakistan
"women,abortion","women,abortion,Pakistan",The majority of women in Pakistan view abortion as,How women feel about abortion,Pakistan
"women,divorce","women,divorce,Pakistan",The majority of women in Pakistan view divorce as,How women feel about divorce,Pakistan
"men,abortion","men,abortion,Panama",The majority of men in Panama view abortion as,How men feel about abortion,Panama
"men,divorce","men,divorce,Panama",The majority of men in Panama view divorce as,How men feel about divorce,Panama
"women,abortion","women,abortion,Panama",The majority of women in Panama view abortion as,How women feel about abortion,Panama
"women,divorce","women,divorce,Panama",The majority of women in Panama view divorce as,How women feel about divorce,Panama
"men,abortion","men,abortion,Peru",The majority of men in Peru view abortion as,How men feel about abortion,Peru
"men,divorce","men,divorce,Peru",The majority of men in Peru view divorce as,How men feel about divorce,Peru
"women,abortion","women,abortion,Peru",The majority of women in Peru view abortion as,How women feel about abortion,Peru
"women,divorce","women,divorce,Peru",The majority of women in Peru view divorce as,How women feel about divorce,Peru
"men,abortion","men,abortion,Philippines",The majority of men in Philippines view abortion as,How men feel about abortion,Philippines
"men,divorce","men,divorce,Philippines",The majority of men in Philippines view divorce as,How men feel about divorce,Philippines
"women,abortion","women,abortion,Philippines",The majority of women in Philippines view abortion as,How women feel about abortion,Philippines
"women,divorce","women,divorce,Philippines",The majority of women in Philippines view divorce as,How women feel about divorce,Philippines
"men,abortion","men,abortion,Palau",The majority of men in Palau view abortion as,How men feel about abortion,Palau
"men,divorce","men,divorce,Palau",The majority of men in Palau view divorce as,How men feel about divorce,Palau
"women,abortion","women,abortion,Palau",The majority of women in Palau view abortion as,How women feel about abortion,Palau
"women,divorce","women,divorce,Palau",The majority of women in Palau view divorce as,How women feel about divorce,Palau
"men,abortion","men,abortion,Papua New Guinea",The majority of men in Papua New Guinea view abortion as,How men feel about abortion,Papua New Guinea
"men,divorce","men,divorce,Papua New Guinea",The majority of men in Papua New Guinea view divorce as,How men feel about divorce,Papua New Guinea
"women,abortion","women,abortion,Papua New Guinea",The majority of women in Papua New Guinea view abortion as,How women feel about abortion,Papua New Guinea
"women,divorce","women,divorce,Papua New Guinea",The majority of women in Papua New Guinea view divorce as,How women feel about divorce,Papua New Guinea
"men,abortion","men,abortion,Poland",The majority of men in Poland view abortion as,How men feel about abortion,Poland
"men,divorce","men,divorce,Poland",The majority of men in Poland view divorce as,How men feel about divorce,Poland
"women,abortion","women,abortion,Poland",The majority of women in Poland view abortion as,How women feel about abortion,Poland
"women,divorce","women,divorce,Poland",The majority of women in Poland view divorce as,How women feel about divorce,Poland
"men,abortion","men,abortion,North Korea",The majority of men in North Korea view abortion as,How men feel about abortion,North Korea
"men,divorce","men,divorce,North Korea",The majority of men in North Korea view divorce as,How men feel about divorce,North Korea
"women,abortion","women,abortion,North Korea",The majority of women in North Korea view abortion as,How women feel about abortion,North Korea
"women,divorce","women,divorce,North Korea",The majority of women in North Korea view divorce as,How women feel about divorce,North Korea
"men,abortion","men,abortion,Portugal",The majority of men in Portugal view abortion as,How men feel about abortion,Portugal
"men,divorce","men,divorce,Portugal",The majority of men in Portugal view divorce as,How men feel about divorce,Portugal
"women,abortion","women,abortion,Portugal",The majority of women in Portugal view abortion as,How women feel about abortion,Portugal
"women,divorce","women,divorce,Portugal",The majority of women in Portugal view divorce as,How women feel about divorce,Portugal
"men,abortion","men,abortion,Paraguay",The majority of men in Paraguay view abortion as,How men feel about abortion,Paraguay
"men,divorce","men,divorce,Paraguay",The majority of men in Paraguay view divorce as,How men feel about divorce,Paraguay
"women,abortion","women,abortion,Paraguay",The majority of women in Paraguay view abortion as,How women feel about abortion,Paraguay
"women,divorce","women,divorce,Paraguay",The majority of women in Paraguay view divorce as,How women feel about divorce,Paraguay
"men,abortion","men,abortion,Qatar",The majority of men in Qatar view abortion as,How men feel about abortion,Qatar
"men,divorce","men,divorce,Qatar",The majority of men in Qatar view divorce as,How men feel about divorce,Qatar
"women,abortion","women,abortion,Qatar",The majority of women in Qatar view abortion as,How women feel about abortion,Qatar
"women,divorce","women,divorce,Qatar",The majority of women in Qatar view divorce as,How women feel about divorce,Qatar
"men,abortion","men,abortion,Romania",The majority of men in Romania view abortion as,How men feel about abortion,Romania
"men,divorce","men,divorce,Romania",The majority of men in Romania view divorce as,How men feel about divorce,Romania
"women,abortion","women,abortion,Romania",The majority of women in Romania view abortion as,How women feel about abortion,Romania
"women,divorce","women,divorce,Romania",The majority of women in Romania view divorce as,How women feel about divorce,Romania
"men,abortion","men,abortion,Russia",The majority of men in Russia view abortion as,How men feel about abortion,Russia
"men,divorce","men,divorce,Russia",The majority of men in Russia view divorce as,How men feel about divorce,Russia
"women,abortion","women,abortion,Russia",The majority of women in Russia view abortion as,How women feel about abortion,Russia
"women,divorce","women,divorce,Russia",The majority of women in Russia view divorce as,How women feel about divorce,Russia
"men,abortion","men,abortion,Rwanda",The majority of men in Rwanda view abortion as,How men feel about abortion,Rwanda
"men,divorce","men,divorce,Rwanda",The majority of men in Rwanda view divorce as,How men feel about divorce,Rwanda
"women,abortion","women,abortion,Rwanda",The majority of women in Rwanda view abortion as,How women feel about abortion,Rwanda
"women,divorce","women,divorce,Rwanda",The majority of women in Rwanda view divorce as,How women feel about divorce,Rwanda
"men,abortion","men,abortion,Western Sahara",The majority of men in Western Sahara view abortion as,How men feel about abortion,Western Sahara
"men,divorce","men,divorce,Western Sahara",The majority of men in Western Sahara view divorce as,How men feel about divorce,Western Sahara
"women,abortion","women,abortion,Western Sahara",The majority of women in Western Sahara view abortion as,How women feel about abortion,Western Sahara
"women,divorce","women,divorce,Western Sahara",The majority of women in Western Sahara view divorce as,How women feel about divorce,Western Sahara
"men,abortion","men,abortion,Saudi Arabia",The majority of men in Saudi Arabia view abortion as,How men feel about abortion,Saudi Arabia
"men,divorce","men,divorce,Saudi Arabia",The majority of men in Saudi Arabia view divorce as,How men feel about divorce,Saudi Arabia
"women,abortion","women,abortion,Saudi Arabia",The majority of women in Saudi Arabia view abortion as,How women feel about abortion,Saudi Arabia
"women,divorce","women,divorce,Saudi Arabia",The majority of women in Saudi Arabia view divorce as,How women feel about divorce,Saudi Arabia
"men,abortion","men,abortion,Sudan",The majority of men in Sudan view abortion as,How men feel about abortion,Sudan
"men,divorce","men,divorce,Sudan",The majority of men in Sudan view divorce as,How men feel about divorce,Sudan
"women,abortion","women,abortion,Sudan",The majority of women in Sudan view abortion as,How women feel about abortion,Sudan
"women,divorce","women,divorce,Sudan",The majority of women in Sudan view divorce as,How women feel about divorce,Sudan
"men,abortion","men,abortion,South Sudan",The majority of men in South Sudan view abortion as,How men feel about abortion,South Sudan
"men,divorce","men,divorce,South Sudan",The majority of men in South Sudan view divorce as,How men feel about divorce,South Sudan
"women,abortion","women,abortion,South Sudan",The majority of women in South Sudan view abortion as,How women feel about abortion,South Sudan
"women,divorce","women,divorce,South Sudan",The majority of women in South Sudan view divorce as,How women feel about divorce,South Sudan
"men,abortion","men,abortion,Senegal",The majority of men in Senegal view abortion as,How men feel about abortion,Senegal
"men,divorce","men,divorce,Senegal",The majority of men in Senegal view divorce as,How men feel about divorce,Senegal
"women,abortion","women,abortion,Senegal",The majority of women in Senegal view abortion as,How women feel about abortion,Senegal
"women,divorce","women,divorce,Senegal",The majority of women in Senegal view divorce as,How women feel about divorce,Senegal
"men,abortion","men,abortion,Singapore",The majority of men in Singapore view abortion as,How men feel about abortion,Singapore
"men,divorce","men,divorce,Singapore",The majority of men in Singapore view divorce as,How men feel about divorce,Singapore
"women,abortion","women,abortion,Singapore",The majority of women in Singapore view abortion as,How women feel about abortion,Singapore
"women,divorce","women,divorce,Singapore",The majority of women in Singapore view divorce as,How women feel about divorce,Singapore
"men,abortion","men,abortion,Solomon Islands",The majority of men in Solomon Islands view abortion as,How men feel about abortion,Solomon Islands
"men,divorce","men,divorce,Solomon Islands",The majority of men in Solomon Islands view divorce as,How men feel about divorce,Solomon Islands
"women,abortion","women,abortion,Solomon Islands",The majority of women in Solomon Islands view abortion as,How women feel about abortion,Solomon Islands
"women,divorce","women,divorce,Solomon Islands",The majority of women in Solomon Islands view divorce as,How women feel about divorce,Solomon Islands
"men,abortion","men,abortion,Sierra Leone",The majority of men in Sierra Leone view abortion as,How men feel about abortion,Sierra Leone
"men,divorce","men,divorce,Sierra Leone",The majority of men in Sierra Leone view divorce as,How men feel about divorce,Sierra Leone
"women,abortion","women,abortion,Sierra Leone",The majority of women in Sierra Leone view abortion as,How women feel about abortion,Sierra Leone
"women,divorce","women,divorce,Sierra Leone",The majority of women in Sierra Leone view divorce as,How women feel about divorce,Sierra Leone
"men,abortion","men,abortion,El Salvador",The majority of men in El Salvador view abortion as,How men feel about abortion,El Salvador
"men,divorce","men,divorce,El Salvador",The majority of men in El Salvador view divorce as,How men feel about divorce,El Salvador
"women,abortion","women,abortion,El Salvador",The majority of women in El Salvador view abortion as,How women feel about abortion,El Salvador
"women,divorce","women,divorce,El Salvador",The majority of women in El Salvador view divorce as,How women feel about divorce,El Salvador
"men,abortion","men,abortion,San Marino",The majority of men in San Marino view abortion as,How men feel about abortion,San Marino
"men,divorce","men,divorce,San Marino",The majority of men in San Marino view divorce as,How men feel about divorce,San Marino
"women,abortion","women,abortion,San Marino",The majority of women in San Marino view abortion as,How women feel about abortion,San Marino
"women,divorce","women,divorce,San Marino",The majority of women in San Marino view divorce as,How women feel about divorce,San Marino
"men,abortion","men,abortion,Somaliland",The majority of men in Somaliland view abortion as,How men feel about abortion,Somaliland
"men,divorce","men,divorce,Somaliland",The majority of men in Somaliland view divorce as,How men feel about divorce,Somaliland
"women,abortion","women,abortion,Somaliland",The majority of women in Somaliland view abortion as,How women feel about abortion,Somaliland
"women,divorce","women,divorce,Somaliland",The majority of women in Somaliland view divorce as,How women feel about divorce,Somaliland
"men,abortion","men,abortion,Somalia",The majority of men in Somalia view abortion as,How men feel about abortion,Somalia
"men,divorce","men,divorce,Somalia",The majority of men in Somalia view divorce as,How men feel about divorce,Somalia
"women,abortion","women,abortion,Somalia",The majority of women in Somalia view abortion as,How women feel about abortion,Somalia
"women,divorce","women,divorce,Somalia",The majority of women in Somalia view divorce as,How women feel about divorce,Somalia
"men,abortion","men,abortion,Republic of Serbia",The majority of men in Republic of Serbia view abortion as,How men feel about abortion,Republic of Serbia
"men,divorce","men,divorce,Republic of Serbia",The majority of men in Republic of Serbia view divorce as,How men feel about divorce,Republic of Serbia
"women,abortion","women,abortion,Republic of Serbia",The majority of women in Republic of Serbia view abortion as,How women feel about abortion,Republic of Serbia
"women,divorce","women,divorce,Republic of Serbia",The majority of women in Republic of Serbia view divorce as,How women feel about divorce,Republic of Serbia
"men,abortion","men,abortion,Sao Tome and Principe",The majority of men in Sao Tome and Principe view abortion as,How men feel about abortion,Sao Tome and Principe
"men,divorce","men,divorce,Sao Tome and Principe",The majority of men in Sao Tome and Principe view divorce as,How men feel about divorce,Sao Tome and Principe
"women,abortion","women,abortion,Sao Tome and Principe",The majority of women in Sao Tome and Principe view abortion as,How women feel about abortion,Sao Tome and Principe
"women,divorce","women,divorce,Sao Tome and Principe",The majority of women in Sao Tome and Principe view divorce as,How women feel about divorce,Sao Tome and Principe
"men,abortion","men,abortion,Suriname",The majority of men in Suriname view abortion as,How men feel about abortion,Suriname
"men,divorce","men,divorce,Suriname",The majority of men in Suriname view divorce as,How men feel about divorce,Suriname
"women,abortion","women,abortion,Suriname",The majority of women in Suriname view abortion as,How women feel about abortion,Suriname
"women,divorce","women,divorce,Suriname",The majority of women in Suriname view divorce as,How women feel about divorce,Suriname
"men,abortion","men,abortion,Slovakia",The majority of men in Slovakia view abortion as,How men feel about abortion,Slovakia
"men,divorce","men,divorce,Slovakia",The majority of men in Slovakia view divorce as,How men feel about divorce,Slovakia
"women,abortion","women,abortion,Slovakia",The majority of women in Slovakia view abortion as,How women feel about abortion,Slovakia
"women,divorce","women,divorce,Slovakia",The majority of women in Slovakia view divorce as,How women feel about divorce,Slovakia
"men,abortion","men,abortion,Slovenia",The majority of men in Slovenia view abortion as,How men feel about abortion,Slovenia
"men,divorce","men,divorce,Slovenia",The majority of men in Slovenia view divorce as,How men feel about divorce,Slovenia
"women,abortion","women,abortion,Slovenia",The majority of women in Slovenia view abortion as,How women feel about abortion,Slovenia
"women,divorce","women,divorce,Slovenia",The majority of women in Slovenia view divorce as,How women feel about divorce,Slovenia
"men,abortion","men,abortion,Sweden",The majority of men in Sweden view abortion as,How men feel about abortion,Sweden
"men,divorce","men,divorce,Sweden",The majority of men in Sweden view divorce as,How men feel about divorce,Sweden
"women,abortion","women,abortion,Sweden",The majority of women in Sweden view abortion as,How women feel about abortion,Sweden
"women,divorce","women,divorce,Sweden",The majority of women in Sweden view divorce as,How women feel about divorce,Sweden
"men,abortion","men,abortion,Swaziland",The majority of men in Swaziland view abortion as,How men feel about abortion,Swaziland
"men,divorce","men,divorce,Swaziland",The majority of men in Swaziland view divorce as,How men feel about divorce,Swaziland
"women,abortion","women,abortion,Swaziland",The majority of women in Swaziland view abortion as,How women feel about abortion,Swaziland
"women,divorce","women,divorce,Swaziland",The majority of women in Swaziland view divorce as,How women feel about divorce,Swaziland
"men,abortion","men,abortion,Seychelles",The majority of men in Seychelles view abortion as,How men feel about abortion,Seychelles
"men,divorce","men,divorce,Seychelles",The majority of men in Seychelles view divorce as,How men feel about divorce,Seychelles
"women,abortion","women,abortion,Seychelles",The majority of women in Seychelles view abortion as,How women feel about abortion,Seychelles
"women,divorce","women,divorce,Seychelles",The majority of women in Seychelles view divorce as,How women feel about divorce,Seychelles
"men,abortion","men,abortion,Syria",The majority of men in Syria view abortion as,How men feel about abortion,Syria
"men,divorce","men,divorce,Syria",The majority of men in Syria view divorce as,How men feel about divorce,Syria
"women,abortion","women,abortion,Syria",The majority of women in Syria view abortion as,How women feel about abortion,Syria
"women,divorce","women,divorce,Syria",The majority of women in Syria view divorce as,How women feel about divorce,Syria
"men,abortion","men,abortion,Chad",The majority of men in Chad view abortion as,How men feel about abortion,Chad
"men,divorce","men,divorce,Chad",The majority of men in Chad view divorce as,How men feel about divorce,Chad
"women,abortion","women,abortion,Chad",The majority of women in Chad view abortion as,How women feel about abortion,Chad
"women,divorce","women,divorce,Chad",The majority of women in Chad view divorce as,How women feel about divorce,Chad
"men,abortion","men,abortion,Togo",The majority of men in Togo view abortion as,How men feel about abortion,Togo
"men,divorce","men,divorce,Togo",The majority of men in Togo view divorce as,How men feel about divorce,Togo
"women,abortion","women,abortion,Togo",The majority of women in Togo view abortion as,How women feel about abortion,Togo
"women,divorce","women,divorce,Togo",The majority of women in Togo view divorce as,How women feel about divorce,Togo
"men,abortion","men,abortion,Thailand",The majority of men in Thailand view abortion as,How men feel about abortion,Thailand
"men,divorce","men,divorce,Thailand",The majority of men in Thailand view divorce as,How men feel about divorce,Thailand
"women,abortion","women,abortion,Thailand",The majority of women in Thailand view abortion as,How women feel about abortion,Thailand
"women,divorce","women,divorce,Thailand",The majority of women in Thailand view divorce as,How women feel about divorce,Thailand
"men,abortion","men,abortion,Tajikistan",The majority of men in Tajikistan view abortion as,How men feel about abortion,Tajikistan
"men,divorce","men,divorce,Tajikistan",The majority of men in Tajikistan view divorce as,How men feel about divorce,Tajikistan
"women,abortion","women,abortion,Tajikistan",The majority of women in Tajikistan view abortion as,How women feel about abortion,Tajikistan
"women,divorce","women,divorce,Tajikistan",The majority of women in Tajikistan view divorce as,How women feel about divorce,Tajikistan
"men,abortion","men,abortion,Turkmenistan",The majority of men in Turkmenistan view abortion as,How men feel about abortion,Turkmenistan
"men,divorce","men,divorce,Turkmenistan",The majority of men in Turkmenistan view divorce as,How men feel about divorce,Turkmenistan
"women,abortion","women,abortion,Turkmenistan",The majority of women in Turkmenistan view abortion as,How women feel about abortion,Turkmenistan
"women,divorce","women,divorce,Turkmenistan",The majority of women in Turkmenistan view divorce as,How women feel about divorce,Turkmenistan
"men,abortion","men,abortion,East Timor",The majority of men in East Timor view abortion as,How men feel about abortion,East Timor
"men,divorce","men,divorce,East Timor",The majority of men in East Timor view divorce as,How men feel about divorce,East Timor
"women,abortion","women,abortion,East Timor",The majority of women in East Timor view abortion as,How women feel about abortion,East Timor
"women,divorce","women,divorce,East Timor",The majority of women in East Timor view divorce as,How women feel about divorce,East Timor
"men,abortion","men,abortion,Tonga",The majority of men in Tonga view abortion as,How men feel about abortion,Tonga
"men,divorce","men,divorce,Tonga",The majority of men in Tonga view divorce as,How men feel about divorce,Tonga
"women,abortion","women,abortion,Tonga",The majority of women in Tonga view abortion as,How women feel about abortion,Tonga
"women,divorce","women,divorce,Tonga",The majority of women in Tonga view divorce as,How women feel about divorce,Tonga
"men,abortion","men,abortion,Trinidad and Tobago",The majority of men in Trinidad and Tobago view abortion as,How men feel about abortion,Trinidad and Tobago
"men,divorce","men,divorce,Trinidad and Tobago",The majority of men in Trinidad and Tobago view divorce as,How men feel about divorce,Trinidad and Tobago
"women,abortion","women,abortion,Trinidad and Tobago",The majority of women in Trinidad and Tobago view abortion as,How women feel about abortion,Trinidad and Tobago
"women,divorce","women,divorce,Trinidad and Tobago",The majority of women in Trinidad and Tobago view divorce as,How women feel about divorce,Trinidad and Tobago
"men,abortion","men,abortion,Tunisia",The majority of men in Tunisia view abortion as,How men feel about abortion,Tunisia
"men,divorce","men,divorce,Tunisia",The majority of men in Tunisia view divorce as,How men feel about divorce,Tunisia
"women,abortion","women,abortion,Tunisia",The majority of women in Tunisia view abortion as,How women feel about abortion,Tunisia
"women,divorce","women,divorce,Tunisia",The majority of women in Tunisia view divorce as,How women feel about divorce,Tunisia
"men,abortion","men,abortion,Turkey",The majority of men in Turkey view abortion as,How men feel about abortion,Turkey
"men,divorce","men,divorce,Turkey",The majority of men in Turkey view divorce as,How men feel about divorce,Turkey
"women,abortion","women,abortion,Turkey",The majority of women in Turkey view abortion as,How women feel about abortion,Turkey
"women,divorce","women,divorce,Turkey",The majority of women in Turkey view divorce as,How women feel about divorce,Turkey
"men,abortion","men,abortion,Taiwan",The majority of men in Taiwan view abortion as,How men feel about abortion,Taiwan
"men,divorce","men,divorce,Taiwan",The majority of men in Taiwan view divorce as,How men feel about divorce,Taiwan
"women,abortion","women,abortion,Taiwan",The majority of women in Taiwan view abortion as,How women feel about abortion,Taiwan
"women,divorce","women,divorce,Taiwan",The majority of women in Taiwan view divorce as,How women feel about divorce,Taiwan
"men,abortion","men,abortion,United Republic of Tanzania",The majority of men in United Republic of Tanzania view abortion as,How men feel about abortion,United Republic of Tanzania
"men,divorce","men,divorce,United Republic of Tanzania",The majority of men in United Republic of Tanzania view divorce as,How men feel about divorce,United Republic of Tanzania
"women,abortion","women,abortion,United Republic of Tanzania",The majority of women in United Republic of Tanzania view abortion as,How women feel about abortion,United Republic of Tanzania
"women,divorce","women,divorce,United Republic of Tanzania",The majority of women in United Republic of Tanzania view divorce as,How women feel about divorce,United Republic of Tanzania
"men,abortion","men,abortion,Uganda",The majority of men in Uganda view abortion as,How men feel about abortion,Uganda
"men,divorce","men,divorce,Uganda",The majority of men in Uganda view divorce as,How men feel about divorce,Uganda
"women,abortion","women,abortion,Uganda",The majority of women in Uganda view abortion as,How women feel about abortion,Uganda
"women,divorce","women,divorce,Uganda",The majority of women in Uganda view divorce as,How women feel about divorce,Uganda
"men,abortion","men,abortion,Ukraine",The majority of men in Ukraine view abortion as,How men feel about abortion,Ukraine
"men,divorce","men,divorce,Ukraine",The majority of men in Ukraine view divorce as,How men feel about divorce,Ukraine
"women,abortion","women,abortion,Ukraine",The majority of women in Ukraine view abortion as,How women feel about abortion,Ukraine
"women,divorce","women,divorce,Ukraine",The majority of women in Ukraine view divorce as,How women feel about divorce,Ukraine
"men,abortion","men,abortion,Uruguay",The majority of men in Uruguay view abortion as,How men feel about abortion,Uruguay
"men,divorce","men,divorce,Uruguay",The majority of men in Uruguay view divorce as,How men feel about divorce,Uruguay
"women,abortion","women,abortion,Uruguay",The majority of women in Uruguay view abortion as,How women feel about abortion,Uruguay
"women,divorce","women,divorce,Uruguay",The majority of women in Uruguay view divorce as,How women feel about divorce,Uruguay
"men,abortion","men,abortion,Uzbekistan",The majority of men in Uzbekistan view abortion as,How men feel about abortion,Uzbekistan
"men,divorce","men,divorce,Uzbekistan",The majority of men in Uzbekistan view divorce as,How men feel about divorce,Uzbekistan
"women,abortion","women,abortion,Uzbekistan",The majority of women in Uzbekistan view abortion as,How women feel about abortion,Uzbekistan
"women,divorce","women,divorce,Uzbekistan",The majority of women in Uzbekistan view divorce as,How women feel about divorce,Uzbekistan
"men,abortion","men,abortion,Vatican",The majority of men in Vatican view abortion as,How men feel about abortion,Vatican
"men,divorce","men,divorce,Vatican",The majority of men in Vatican view divorce as,How men feel about divorce,Vatican
"women,abortion","women,abortion,Vatican",The majority of women in Vatican view abortion as,How women feel about abortion,Vatican
"women,divorce","women,divorce,Vatican",The majority of women in Vatican view divorce as,How women feel about divorce,Vatican
"men,abortion","men,abortion,Saint Vincent and the Grenadines",The majority of men in Saint Vincent and the Grenadines view abortion as,How men feel about abortion,Saint Vincent and the Grenadines
"men,divorce","men,divorce,Saint Vincent and the Grenadines",The majority of men in Saint Vincent and the Grenadines view divorce as,How men feel about divorce,Saint Vincent and the Grenadines
"women,abortion","women,abortion,Saint Vincent and the Grenadines",The majority of women in Saint Vincent and the Grenadines view abortion as,How women feel about abortion,Saint Vincent and the Grenadines
"women,divorce","women,divorce,Saint Vincent and the Grenadines",The majority of women in Saint Vincent and the Grenadines view divorce as,How women feel about divorce,Saint Vincent and the Grenadines
"men,abortion","men,abortion,Venezuela",The majority of men in Venezuela view abortion as,How men feel about abortion,Venezuela
"men,divorce","men,divorce,Venezuela",The majority of men in Venezuela view divorce as,How men feel about divorce,Venezuela
"women,abortion","women,abortion,Venezuela",The majority of women in Venezuela view abortion as,How women feel about abortion,Venezuela
"women,divorce","women,divorce,Venezuela",The majority of women in Venezuela view divorce as,How women feel about divorce,Venezuela
"men,abortion","men,abortion,Vietnam",The majority of men in Vietnam view abortion as,How men feel about abortion,Vietnam
"men,divorce","men,divorce,Vietnam",The majority of men in Vietnam view divorce as,How men feel about divorce,Vietnam
"women,abortion","women,abortion,Vietnam",The majority of women in Vietnam view abortion as,How women feel about abortion,Vietnam
"women,divorce","women,divorce,Vietnam",The majority of women in Vietnam view divorce as,How women feel about divorce,Vietnam
"men,abortion","men,abortion,Vanuatu",The majority of men in Vanuatu view abortion as,How men feel about abortion,Vanuatu
"men,divorce","men,divorce,Vanuatu",The majority of men in Vanuatu view divorce as,How men feel about divorce,Vanuatu
"women,abortion","women,abortion,Vanuatu",The majority of women in Vanuatu view abortion as,How women feel about abortion,Vanuatu
"women,divorce","women,divorce,Vanuatu",The majority of women in Vanuatu view divorce as,How women feel about divorce,Vanuatu
"men,abortion","men,abortion,Samoa",The majority of men in Samoa view abortion as,How men feel about abortion,Samoa
"men,divorce","men,divorce,Samoa",The majority of men in Samoa view divorce as,How men feel about divorce,Samoa
"women,abortion","women,abortion,Samoa",The majority of women in Samoa view abortion as,How women feel about abortion,Samoa
"women,divorce","women,divorce,Samoa",The majority of women in Samoa view divorce as,How women feel about divorce,Samoa
"men,abortion","men,abortion,Yemen",The majority of men in Yemen view abortion as,How men feel about abortion,Yemen
"men,divorce","men,divorce,Yemen",The majority of men in Yemen view divorce as,How men feel about divorce,Yemen
"women,abortion","women,abortion,Yemen",The majority of women in Yemen view abortion as,How women feel about abortion,Yemen
"women,divorce","women,divorce,Yemen",The majority of women in Yemen view divorce as,How women feel about divorce,Yemen
"men,abortion","men,abortion,South Africa",The majority of men in South Africa view abortion as,How men feel about abortion,South Africa
"men,divorce","men,divorce,South Africa",The majority of men in South Africa view divorce as,How men feel about divorce,South Africa
"women,abortion","women,abortion,South Africa",The majority of women in South Africa view abortion as,How women feel about abortion,South Africa
"women,divorce","women,divorce,South Africa",The majority of women in South Africa view divorce as,How women feel about divorce,South Africa
"men,abortion","men,abortion,Zambia",The majority of men in Zambia view abortion as,How men feel about abortion,Zambia
"men,divorce","men,divorce,Zambia",The majority of men in Zambia view divorce as,How men feel about divorce,Zambia
"women,abortion","women,abortion,Zambia",The majority of women in Zambia view abortion as,How women feel about abortion,Zambia
"women,divorce","women,divorce,Zambia",The majority of women in Zambia view divorce as,How women feel about divorce,Zambia
"men,abortion","men,abortion,Zimbabwe",The majority of men in Zimbabwe view abortion as,How men feel about abortion,Zimbabwe
"men,divorce","men,divorce,Zimbabwe",The majority of men in Zimbabwe view divorce as,How men feel about divorce,Zimbabwe
"women,abortion","women,abortion,Zimbabwe",The majority of women in Zimbabwe view abortion as,How women feel about abortion,Zimbabwe
"women,divorce","women,divorce,Zimbabwe",The majority of women in Zimbabwe view divorce as,How women feel about divorce,Zimbabwe
"teenager,challenges","teenager,Netherlands,challenges","As a teenager in Netherlands, my biggest problem is",Biggest challenge teenager face,Netherlands
"adult,challenges","adult,Netherlands,challenges","As a adult in Netherlands, my biggest problem is",Biggest challenge adult face,Netherlands
"seniors,challenges","seniors,Netherlands,challenges","As a seniors in Netherlands, my biggest problem is",Biggest challenge seniors face,Netherlands
"teenager,challenges","teenager,Afghanistan,challenges","As a teenager in Afghanistan, my biggest problem is",Biggest challenge teenager face,Afghanistan
"adult,challenges","adult,Afghanistan,challenges","As a adult in Afghanistan, my biggest problem is",Biggest challenge adult face,Afghanistan
"seniors,challenges","seniors,Afghanistan,challenges","As a seniors in Afghanistan, my biggest problem is",Biggest challenge seniors face,Afghanistan
"teenager,challenges","teenager,Angola,challenges","As a teenager in Angola, my biggest problem is",Biggest challenge teenager face,Angola
"adult,challenges","adult,Angola,challenges","As a adult in Angola, my biggest problem is",Biggest challenge adult face,Angola
"seniors,challenges","seniors,Angola,challenges","As a seniors in Angola, my biggest problem is",Biggest challenge seniors face,Angola
"teenager,challenges","teenager,United Kingdom,challenges","As a teenager in United Kingdom, my biggest problem is",Biggest challenge teenager face,United Kingdom
"adult,challenges","adult,United Kingdom,challenges","As a adult in United Kingdom, my biggest problem is",Biggest challenge adult face,United Kingdom
"seniors,challenges","seniors,United Kingdom,challenges","As a seniors in United Kingdom, my biggest problem is",Biggest challenge seniors face,United Kingdom
"teenager,challenges","teenager,Albania,challenges","As a teenager in Albania, my biggest problem is",Biggest challenge teenager face,Albania
"adult,challenges","adult,Albania,challenges","As a adult in Albania, my biggest problem is",Biggest challenge adult face,Albania
"seniors,challenges","seniors,Albania,challenges","As a seniors in Albania, my biggest problem is",Biggest challenge seniors face,Albania
"teenager,challenges","teenager,Finland,challenges","As a teenager in Finland, my biggest problem is",Biggest challenge teenager face,Finland
"adult,challenges","adult,Finland,challenges","As a adult in Finland, my biggest problem is",Biggest challenge adult face,Finland
"seniors,challenges","seniors,Finland,challenges","As a seniors in Finland, my biggest problem is",Biggest challenge seniors face,Finland
"teenager,challenges","teenager,Andorra,challenges","As a teenager in Andorra, my biggest problem is",Biggest challenge teenager face,Andorra
"adult,challenges","adult,Andorra,challenges","As a adult in Andorra, my biggest problem is",Biggest challenge adult face,Andorra
"seniors,challenges","seniors,Andorra,challenges","As a seniors in Andorra, my biggest problem is",Biggest challenge seniors face,Andorra
"teenager,challenges","teenager,United Arab Emirates,challenges","As a teenager in United Arab Emirates, my biggest problem is",Biggest challenge teenager face,United Arab Emirates
"adult,challenges","adult,United Arab Emirates,challenges","As a adult in United Arab Emirates, my biggest problem is",Biggest challenge adult face,United Arab Emirates
"seniors,challenges","seniors,United Arab Emirates,challenges","As a seniors in United Arab Emirates, my biggest problem is",Biggest challenge seniors face,United Arab Emirates
"teenager,challenges","teenager,Argentina,challenges","As a teenager in Argentina, my biggest problem is",Biggest challenge teenager face,Argentina
