type,question_id,question,button_name,country
"women,abortion","women,abortion,Morocco",Summarize what most women in Morocco think of abortion.,How women feel about abortion,Morocco
"women,divorce","women,divorce,Morocco",Summarize what most women in Morocco think of divorce.,How women feel about divorce,Morocco
"men,abortion","men,abortion,Monaco",Summarize what most men in Monaco think of abortion.,How men feel about abortion,Monaco
"men,divorce","men,divorce,Monaco",Summarize what most men in Monaco think of divorce.,How men feel about divorce,Monaco
"women,abortion","women,abortion,Monaco",Summarize what most women in Monaco think of abortion.,How women feel about abortion,Monaco
"women,divorce","women,divorce,Monaco",Summarize what most women in Monaco think of divorce.,How women feel about divorce,Monaco
"men,abortion","men,abortion,Moldova",Summarize what most men in Moldova think of abortion.,How men feel about abortion,Moldova
"men,divorce","men,divorce,Moldova",Summarize what most men in Moldova think of divorce.,How men feel about divorce,Moldova
"women,abortion","women,abortion,Moldova",Summarize what most women in Moldova think of abortion.,How women feel about abortion,Moldova
"women,divorce","women,divorce,Moldova",Summarize what most women in Moldova think of divorce.,How women feel about divorce,Moldova
"men,abortion","men,abortion,Madagascar",Summarize what most men in Madagascar think of abortion.,How men feel about abortion,Madagascar
"men,divorce","men,divorce,Madagascar",Summarize what most men in Madagascar think of divorce.,How men feel about divorce,Madagascar
"women,abortion","women,abortion,Madagascar",Summarize what most women in Madagascar think of abortion.,How women feel about abortion,Madagascar
"women,divorce","women,divorce,Madagascar",Summarize what most women in Madagascar think of divorce.,How women feel about divorce,Madagascar
"men,abortion","men,abortion,Maldives",Summarize what most men in Maldives think of abortion.,How men feel about abortion,Maldives
"men,divorce","men,divorce,Maldives",Summarize what most men in Maldives think of divorce.,How men feel about divorce,Maldives
"women,abortion","women,abortion,Maldives",Summarize what most women in Maldives think of abortion.,How women feel about abortion,Maldives
"women,divorce","women,divorce,Maldives",Summarize what most women in Maldives think of divorce.,How women feel about divorce,Maldives
"men,abortion","men,abortion,Mexico",Summarize what most men in Mexico think of abortion.,How men feel about abortion,Mexico
"men,divorce","men,divorce,Mexico",Summarize what most men in Mexico think of divorce.,How men feel about divorce,Mexico
"women,abortion","women,abortion,Mexico",Summarize what most women in Mexico think of abortion.,How women feel about abortion,Mexico
"women,divorce","women,divorce,Mexico",Summarize what most women in Mexico think of divorce.,How women feel about divorce,Mexico
"men,abortion","men,abortion,Marshall Islands",Summarize what most men in Marshall Islands think of abortion.,How men feel about abortion,Marshall Islands
"men,divorce","men,divorce,Marshall Islands",Summarize what most men in Marshall Islands think of divorce.,How men feel about divorce,Marshall Islands
"women,abortion","women,abortion,Marshall Islands",Summarize what most women in Marshall Islands think of abortion.,How women feel about abortion,Marshall Islands
"women,divorce","women,divorce,Marshall Islands",Summarize what most women in Marshall Islands think of divorce.,How women feel about divorce,Marshall Islands
"men,abortion","men,abortion,Macedonia",Summarize what most men in Macedonia think of abortion.,How men feel about abortion,Macedonia
"men,divorce","men,divorce,Macedonia",Summarize what most men in Macedonia think of divorce.,How men feel about divorce,Macedonia
"women,abortion","women,abortion,Macedonia",Summarize what most women in Macedonia think of abortion.,How women feel about abortion,Macedonia
"women,divorce","women,divorce,Macedonia",Summarize what most women in Macedonia think of divorce.,How women feel about divorce,Macedonia
"men,abortion","men,abortion,Mali",Summarize what most men in Mali think of abortion.,How men feel about abortion,Mali
"men,divorce","men,divorce,Mali",Summarize what most men in Mali think of divorce.,How men feel about divorce,Mali
"women,abortion","women,abortion,Mali",Summarize what most women in Mali think of abortion.,How women feel about abortion,Mali
"women,divorce","women,divorce,Mali",Summarize what most women in Mali think of divorce.,How women feel about divorce,Mali
"men,abortion","men,abortion,Malta",Summarize what most men in Malta think of abortion.,How men feel about abortion,Malta
"men,divorce","men,divorce,Malta",Summarize what most men in Malta think of divorce.,How men feel about divorce,Malta
"women,abortion","women,abortion,Malta",Summarize what most women in Malta think of abortion.,How women feel about abortion,Malta
"women,divorce","women,divorce,Malta",Summarize what most women in Malta think of divorce.,How women feel about divorce,Malta
"men,abortion","men,abortion,Myanmar",Summarize what most men in Myanmar think of abortion.,How men feel about abortion,Myanmar
"men,divorce","men,divorce,Myanmar",Summarize what most men in Myanmar think of divorce.,How men feel about divorce,Myanmar
"women,abortion","women,abortion,Myanmar",Summarize what most women in Myanmar think of abortion.,How women feel about abortion,Myanmar
"women,divorce","women,divorce,Myanmar",Summarize what most women in Myanmar think of divorce.,How women feel about divorce,Myanmar
"men,abortion","men,abortion,Montenegro",Summarize what most men in Montenegro think of abortion.,How men feel about abortion,Montenegro
"men,divorce","men,divorce,Montenegro",Summarize what most men in Montenegro think of divorce.,How men feel about divorce,Montenegro
"women,abortion","women,abortion,Montenegro",Summarize what most women in Montenegro think of abortion.,How women feel about abortion,Montenegro
"women,divorce","women,divorce,Montenegro",Summarize what most women in Montenegro think of divorce.,How women feel about divorce,Montenegro
"men,abortion","men,abortion,Mongolia",Summarize what most men in Mongolia think of abortion.,How men feel about abortion,Mongolia
"men,divorce","men,divorce,Mongolia",Summarize what most men in Mongolia think of divorce.,How men feel about divorce,Mongolia
"women,abortion","women,abortion,Mongolia",Summarize what most women in Mongolia think of abortion.,How women feel about abortion,Mongolia
"women,divorce","women,divorce,Mongolia",Summarize what most women in Mongolia think of divorce.,How women feel about divorce,Mongolia
"men,abortion","men,abortion,Mozambique",Summarize what most men in Mozambique think of abortion.,How men feel about abortion,Mozambique
"men,divorce","men,divorce,Mozambique",Summarize what most men in Mozambique think of divorce.,How men feel about divorce,Mozambique
"women,abortion","women,abortion,Mozambique",Summarize what most women in Mozambique think of abortion.,How women feel about abortion,Mozambique
"women,divorce","women,divorce,Mozambique",Summarize what most women in Mozambique think of divorce.,How women feel about divorce,Mozambique
"men,abortion","men,abortion,Mauritania",Summarize what most men in Mauritania think of abortion.,How men feel about abortion,Mauritania
"men,divorce","men,divorce,Mauritania",Summarize what most men in Mauritania think of divorce.,How men feel about divorce,Mauritania
"women,abortion","women,abortion,Mauritania",Summarize what most women in Mauritania think of abortion.,How women feel about abortion,Mauritania
"women,divorce","women,divorce,Mauritania",Summarize what most women in Mauritania think of divorce.,How women feel about divorce,Mauritania
"men,abortion","men,abortion,Mauritius",Summarize what most men in Mauritius think of abortion.,How men feel about abortion,Mauritius
"men,divorce","men,divorce,Mauritius",Summarize what most men in Mauritius think of divorce.,How men feel about divorce,Mauritius
"women,abortion","women,abortion,Mauritius",Summarize what most women in Mauritius think of abortion.,How women feel about abortion,Mauritius
"women,divorce","women,divorce,Mauritius",Summarize what most women in Mauritius think of divorce.,How women feel about divorce,Mauritius
"men,abortion","men,abortion,Malawi",Summarize what most men in Malawi think of abortion.,How men feel about abortion,Malawi
"men,divorce","men,divorce,Malawi",Summarize what most men in Malawi think of divorce.,How men feel about divorce,Malawi
"women,abortion","women,abortion,Malawi",Summarize what most women in Malawi think of abortion.,How women feel about abortion,Malawi
"women,divorce","women,divorce,Malawi",Summarize what most women in Malawi think of divorce.,How women feel about divorce,Malawi
"men,abortion","men,abortion,Malaysia",Summarize what most men in Malaysia think of abortion.,How men feel about abortion,Malaysia
"men,divorce","men,divorce,Malaysia",Summarize what most men in Malaysia think of divorce.,How men feel about divorce,Malaysia
"women,abortion","women,abortion,Malaysia",Summarize what most women in Malaysia think of abortion.,How women feel about abortion,Malaysia
"women,divorce","women,divorce,Malaysia",Summarize what most women in Malaysia think of divorce.,How women feel about divorce,Malaysia
"men,abortion","men,abortion,Namibia",Summarize what most men in Namibia think of abortion.,How men feel about abortion,Namibia
"men,divorce","men,divorce,Namibia",Summarize what most men in Namibia think of divorce.,How men feel about divorce,Namibia
"women,abortion","women,abortion,Namibia",Summarize what most women in Namibia think of abortion.,How women feel about abortion,Namibia
"women,divorce","women,divorce,Namibia",Summarize what most women in Namibia think of divorce.,How women feel about divorce,Namibia
"men,abortion","men,abortion,Niger",Summarize what most men in Niger think of abortion.,How men feel about abortion,Niger
"men,divorce","men,divorce,Niger",Summarize what most men in Niger think of divorce.,How men feel about divorce,Niger
"women,abortion","women,abortion,Niger",Summarize what most women in Niger think of abortion.,How women feel about abortion,Niger
"women,divorce","women,divorce,Niger",Summarize what most women in Niger think of divorce.,How women feel about divorce,Niger
"men,abortion","men,abortion,Nigeria",Summarize what most men in Nigeria think of abortion.,How men feel about abortion,Nigeria
"men,divorce","men,divorce,Nigeria",Summarize what most men in Nigeria think of divorce.,How men feel about divorce,Nigeria
"women,abortion","women,abortion,Nigeria",Summarize what most women in Nigeria think of abortion.,How women feel about abortion,Nigeria
"women,divorce","women,divorce,Nigeria",Summarize what most women in Nigeria think of divorce.,How women feel about divorce,Nigeria
"men,abortion","men,abortion,Nicaragua",Summarize what most men in Nicaragua think of abortion.,How men feel about abortion,Nicaragua
"men,divorce","men,divorce,Nicaragua",Summarize what most men in Nicaragua think of divorce.,How men feel about divorce,Nicaragua
"women,abortion","women,abortion,Nicaragua",Summarize what most women in Nicaragua think of abortion.,How women feel about abortion,Nicaragua
"women,divorce","women,divorce,Nicaragua",Summarize what most women in Nicaragua think of divorce.,How women feel about divorce,Nicaragua
"men,abortion","men,abortion,Norway",Summarize what most men in Norway think of abortion.,How men feel about abortion,Norway
"men,divorce","men,divorce,Norway",Summarize what most men in Norway think of divorce.,How men feel about divorce,Norway
"women,abortion","women,abortion,Norway",Summarize what most women in Norway think of abortion.,How women feel about abortion,Norway
"women,divorce","women,divorce,Norway",Summarize what most women in Norway think of divorce.,How women feel about divorce,Norway
"men,abortion","men,abortion,Nepal",Summarize what most men in Nepal think of abortion.,How men feel about abortion,Nepal
"men,divorce","men,divorce,Nepal",Summarize what most men in Nepal think of divorce.,How men feel about divorce,Nepal
"women,abortion","women,abortion,Nepal",Summarize what most women in Nepal think of abortion.,How women feel about abortion,Nepal
"women,divorce","women,divorce,Nepal",Summarize what most women in Nepal think of divorce.,How women feel about divorce,Nepal
"men,abortion","men,abortion,Nauru",Summarize what most men in Nauru think of abortion.,How men feel about abortion,Nauru
"men,divorce","men,divorce,Nauru",Summarize what most men in Nauru think of divorce.,How men feel about divorce,Nauru
"women,abortion","women,abortion,Nauru",Summarize what most women in Nauru think of abortion.,How women feel about abortion,Nauru
"women,divorce","women,divorce,Nauru",Summarize what most women in Nauru think of divorce.,How women feel about divorce,Nauru
"men,abortion","men,abortion,Oman",Summarize what most men in Oman think of abortion.,How men feel about abortion,Oman
"men,divorce","men,divorce,Oman",Summarize what most men in Oman think of divorce.,How men feel about divorce,Oman
"women,abortion","women,abortion,Oman",Summarize what most women in Oman think of abortion.,How women feel about abortion,Oman
"women,divorce","women,divorce,Oman",Summarize what most women in Oman think of divorce.,How women feel about divorce,Oman
"men,abortion","men,abortion,Pakistan",Summarize what most men in Pakistan think of abortion.,How men feel about abortion,Pakistan
"men,divorce","men,divorce,Pakistan",Summarize what most men in Pakistan think of divorce.,How men feel about divorce,Pakistan
"women,abortion","women,abortion,Pakistan",Summarize what most women in Pakistan think of abortion.,How women feel about abortion,Pakistan
"women,divorce","women,divorce,Pakistan",Summarize what most women in Pakistan think of divorce.,How women feel about divorce,Pakistan
"men,abortion","men,abortion,Panama",Summarize what most men in Panama think of abortion.,How men feel about abortion,Panama
"men,divorce","men,divorce,Panama",Summarize what most men in Panama think of divorce.,How men feel about divorce,Panama
"women,abortion","women,abortion,Panama",Summarize what most women in Panama think of abortion.,How women feel about abortion,Panama
"women,divorce","women,divorce,Panama",Summarize what most women in Panama think of divorce.,How women feel about divorce,Panama
"men,abortion","men,abortion,Peru",Summarize what most men in Peru think of abortion.,How men feel about abortion,Peru
"men,divorce","men,divorce,Peru",Summarize what most men in Peru think of divorce.,How men feel about divorce,Peru
"women,abortion","women,abortion,Peru",Summarize what most women in Peru think of abortion.,How women feel about abortion,Peru
"women,divorce","women,divorce,Peru",Summarize what most women in Peru think of divorce.,How women feel about divorce,Peru
"men,abortion","men,abortion,Philippines",Summarize what most men in Philippines think of abortion.,How men feel about abortion,Philippines
"men,divorce","men,divorce,Philippines",Summarize what most men in Philippines think of divorce.,How men feel about divorce,Philippines
"women,abortion","women,abortion,Philippines",Summarize what most women in Philippines think of abortion.,How women feel about abortion,Philippines
"women,divorce","women,divorce,Philippines",Summarize what most women in Philippines think of divorce.,How women feel about divorce,Philippines
"men,abortion","men,abortion,Palau",Summarize what most men in Palau think of abortion.,How men feel about abortion,Palau
"men,divorce","men,divorce,Palau",Summarize what most men in Palau think of divorce.,How men feel about divorce,Palau
"women,abortion","women,abortion,Palau",Summarize what most women in Palau think of abortion.,How women feel about abortion,Palau
"women,divorce","women,divorce,Palau",Summarize what most women in Palau think of divorce.,How women feel about divorce,Palau
"men,abortion","men,abortion,Papua New Guinea",Summarize what most men in Papua New Guinea think of abortion.,How men feel about abortion,Papua New Guinea
"men,divorce","men,divorce,Papua New Guinea",Summarize what most men in Papua New Guinea think of divorce.,How men feel about divorce,Papua New Guinea
"women,abortion","women,abortion,Papua New Guinea",Summarize what most women in Papua New Guinea think of abortion.,How women feel about abortion,Papua New Guinea
"women,divorce","women,divorce,Papua New Guinea",Summarize what most women in Papua New Guinea think of divorce.,How women feel about divorce,Papua New Guinea
"men,abortion","men,abortion,Poland",Summarize what most men in Poland think of abortion.,How men feel about abortion,Poland
"men,divorce","men,divorce,Poland",Summarize what most men in Poland think of divorce.,How men feel about divorce,Poland
"women,abortion","women,abortion,Poland",Summarize what most women in Poland think of abortion.,How women feel about abortion,Poland
"women,divorce","women,divorce,Poland",Summarize what most women in Poland think of divorce.,How women feel about divorce,Poland
"men,abortion","men,abortion,North Korea",Summarize what most men in North Korea think of abortion.,How men feel about abortion,North Korea
"men,divorce","men,divorce,North Korea",Summarize what most men in North Korea think of divorce.,How men feel about divorce,North Korea
"women,abortion","women,abortion,North Korea",Summarize what most women in North Korea think of abortion.,How women feel about abortion,North Korea
"women,divorce","women,divorce,North Korea",Summarize what most women in North Korea think of divorce.,How women feel about divorce,North Korea
"men,abortion","men,abortion,Portugal",Summarize what most men in Portugal think of abortion.,How men feel about abortion,Portugal
"men,divorce","men,divorce,Portugal",Summarize what most men in Portugal think of divorce.,How men feel about divorce,Portugal
"women,abortion","women,abortion,Portugal",Summarize what most women in Portugal think of abortion.,How women feel about abortion,Portugal
"women,divorce","women,divorce,Portugal",Summarize what most women in Portugal think of divorce.,How women feel about divorce,Portugal
"men,abortion","men,abortion,Paraguay",Summarize what most men in Paraguay think of abortion.,How men feel about abortion,Paraguay
"men,divorce","men,divorce,Paraguay",Summarize what most men in Paraguay think of divorce.,How men feel about divorce,Paraguay
"women,abortion","women,abortion,Paraguay",Summarize what most women in Paraguay think of abortion.,How women feel about abortion,Paraguay
"women,divorce","women,divorce,Paraguay",Summarize what most women in Paraguay think of divorce.,How women feel about divorce,Paraguay
"men,abortion","men,abortion,Qatar",Summarize what most men in Qatar think of abortion.,How men feel about abortion,Qatar
"men,divorce","men,divorce,Qatar",Summarize what most men in Qatar think of divorce.,How men feel about divorce,Qatar
"women,abortion","women,abortion,Qatar",Summarize what most women in Qatar think of abortion.,How women feel about abortion,Qatar
"women,divorce","women,divorce,Qatar",Summarize what most women in Qatar think of divorce.,How women feel about divorce,Qatar
"men,abortion","men,abortion,Romania",Summarize what most men in Romania think of abortion.,How men feel about abortion,Romania
"men,divorce","men,divorce,Romania",Summarize what most men in Romania think of divorce.,How men feel about divorce,Romania
"women,abortion","women,abortion,Romania",Summarize what most women in Romania think of abortion.,How women feel about abortion,Romania
"women,divorce","women,divorce,Romania",Summarize what most women in Romania think of divorce.,How women feel about divorce,Romania
"men,abortion","men,abortion,Russia",Summarize what most men in Russia think of abortion.,How men feel about abortion,Russia
"men,divorce","men,divorce,Russia",Summarize what most men in Russia think of divorce.,How men feel about divorce,Russia
"women,abortion","women,abortion,Russia",Summarize what most women in Russia think of abortion.,How women feel about abortion,Russia
"women,divorce","women,divorce,Russia",Summarize what most women in Russia think of divorce.,How women feel about divorce,Russia
"men,abortion","men,abortion,Rwanda",Summarize what most men in Rwanda think of abortion.,How men feel about abortion,Rwanda
"men,divorce","men,divorce,Rwanda",Summarize what most men in Rwanda think of divorce.,How men feel about divorce,Rwanda
"women,abortion","women,abortion,Rwanda",Summarize what most women in Rwanda think of abortion.,How women feel about abortion,Rwanda
"women,divorce","women,divorce,Rwanda",Summarize what most women in Rwanda think of divorce.,How women feel about divorce,Rwanda
"men,abortion","men,abortion,Western Sahara",Summarize what most men in Western Sahara think of abortion.,How men feel about abortion,Western Sahara
"men,divorce","men,divorce,Western Sahara",Summarize what most men in Western Sahara think of divorce.,How men feel about divorce,Western Sahara
"women,abortion","women,abortion,Western Sahara",Summarize what most women in Western Sahara think of abortion.,How women feel about abortion,Western Sahara
"women,divorce","women,divorce,Western Sahara",Summarize what most women in Western Sahara think of divorce.,How women feel about divorce,Western Sahara
"men,abortion","men,abortion,Saudi Arabia",Summarize what most men in Saudi Arabia think of abortion.,How men feel about abortion,Saudi Arabia
"men,divorce","men,divorce,Saudi Arabia",Summarize what most men in Saudi Arabia think of divorce.,How men feel about divorce,Saudi Arabia
"women,abortion","women,abortion,Saudi Arabia",Summarize what most women in Saudi Arabia think of abortion.,How women feel about abortion,Saudi Arabia
"women,divorce","women,divorce,Saudi Arabia",Summarize what most women in Saudi Arabia think of divorce.,How women feel about divorce,Saudi Arabia
"men,abortion","men,abortion,Sudan",Summarize what most men in Sudan think of abortion.,How men feel about abortion,Sudan
"men,divorce","men,divorce,Sudan",Summarize what most men in Sudan think of divorce.,How men feel about divorce,Sudan
"women,abortion","women,abortion,Sudan",Summarize what most women in Sudan think of abortion.,How women feel about abortion,Sudan
"women,divorce","women,divorce,Sudan",Summarize what most women in Sudan think of divorce.,How women feel about divorce,Sudan
"men,abortion","men,abortion,South Sudan",Summarize what most men in South Sudan think of abortion.,How men feel about abortion,South Sudan
"men,divorce","men,divorce,South Sudan",Summarize what most men in South Sudan think of divorce.,How men feel about divorce,South Sudan
"women,abortion","women,abortion,South Sudan",Summarize what most women in South Sudan think of abortion.,How women feel about abortion,South Sudan
"women,divorce","women,divorce,South Sudan",Summarize what most women in South Sudan think of divorce.,How women feel about divorce,South Sudan
"men,abortion","men,abortion,Senegal",Summarize what most men in Senegal think of abortion.,How men feel about abortion,Senegal
"men,divorce","men,divorce,Senegal",Summarize what most men in Senegal think of divorce.,How men feel about divorce,Senegal
"women,abortion","women,abortion,Senegal",Summarize what most women in Senegal think of abortion.,How women feel about abortion,Senegal
"women,divorce","women,divorce,Senegal",Summarize what most women in Senegal think of divorce.,How women feel about divorce,Senegal
"men,abortion","men,abortion,Singapore",Summarize what most men in Singapore think of abortion.,How men feel about abortion,Singapore
"men,divorce","men,divorce,Singapore",Summarize what most men in Singapore think of divorce.,How men feel about divorce,Singapore
"women,abortion","women,abortion,Singapore",Summarize what most women in Singapore think of abortion.,How women feel about abortion,Singapore
"women,divorce","women,divorce,Singapore",Summarize what most women in Singapore think of divorce.,How women feel about divorce,Singapore
"men,abortion","men,abortion,Solomon Islands",Summarize what most men in Solomon Islands think of abortion.,How men feel about abortion,Solomon Islands
"men,divorce","men,divorce,Solomon Islands",Summarize what most men in Solomon Islands think of divorce.,How men feel about divorce,Solomon Islands
"women,abortion","women,abortion,Solomon Islands",Summarize what most women in Solomon Islands think of abortion.,How women feel about abortion,Solomon Islands
"women,divorce","women,divorce,Solomon Islands",Summarize what most women in Solomon Islands think of divorce.,How women feel about divorce,Solomon Islands
"men,abortion","men,abortion,Sierra Leone",Summarize what most men in Sierra Leone think of abortion.,How men feel about abortion,Sierra Leone
"men,divorce","men,divorce,Sierra Leone",Summarize what most men in Sierra Leone think of divorce.,How men feel about divorce,Sierra Leone
"women,abortion","women,abortion,Sierra Leone",Summarize what most women in Sierra Leone think of abortion.,How women feel about abortion,Sierra Leone
"women,divorce","women,divorce,Sierra Leone",Summarize what most women in Sierra Leone think of divorce.,How women feel about divorce,Sierra Leone
"men,abortion","men,abortion,El Salvador",Summarize what most men in El Salvador think of abortion.,How men feel about abortion,El Salvador
"men,divorce","men,divorce,El Salvador",Summarize what most men in El Salvador think of divorce.,How men feel about divorce,El Salvador
"women,abortion","women,abortion,El Salvador",Summarize what most women in El Salvador think of abortion.,How women feel about abortion,El Salvador
"women,divorce","women,divorce,El Salvador",Summarize what most women in El Salvador think of divorce.,How women feel about divorce,El Salvador
"men,abortion","men,abortion,San Marino",Summarize what most men in San Marino think of abortion.,How men feel about abortion,San Marino
"men,divorce","men,divorce,San Marino",Summarize what most men in San Marino think of divorce.,How men feel about divorce,San Marino
"women,abortion","women,abortion,San Marino",Summarize what most women in San Marino think of abortion.,How women feel about abortion,San Marino
"women,divorce","women,divorce,San Marino",Summarize what most women in San Marino think of divorce.,How women feel about divorce,San Marino
"men,abortion","men,abortion,Somaliland",Summarize what most men in Somaliland think of abortion.,How men feel about abortion,Somaliland
"men,divorce","men,divorce,Somaliland",Summarize what most men in Somaliland think of divorce.,How men feel about divorce,Somaliland
"women,abortion","women,abortion,Somaliland",Summarize what most women in Somaliland think of abortion.,How women feel about abortion,Somaliland
"women,divorce","women,divorce,Somaliland",Summarize what most women in Somaliland think of divorce.,How women feel about divorce,Somaliland
"men,abortion","men,abortion,Somalia",Summarize what most men in Somalia think of abortion.,How men feel about abortion,Somalia
"men,divorce","men,divorce,Somalia",Summarize what most men in Somalia think of divorce.,How men feel about divorce,Somalia
"women,abortion","women,abortion,Somalia",Summarize what most women in Somalia think of abortion.,How women feel about abortion,Somalia
"women,divorce","women,divorce,Somalia",Summarize what most women in Somalia think of divorce.,How women feel about divorce,Somalia
"men,abortion","men,abortion,Republic of Serbia",Summarize what most men in Republic of Serbia think of abortion.,How men feel about abortion,Republic of Serbia
"men,divorce","men,divorce,Republic of Serbia",Summarize what most men in Republic of Serbia think of divorce.,How men feel about divorce,Republic of Serbia
"women,abortion","women,abortion,Republic of Serbia",Summarize what most women in Republic of Serbia think of abortion.,How women feel about abortion,Republic of Serbia
"women,divorce","women,divorce,Republic of Serbia",Summarize what most women in Republic of Serbia think of divorce.,How women feel about divorce,Republic of Serbia
"men,abortion","men,abortion,Sao Tome and Principe",Summarize what most men in Sao Tome and Principe think of abortion.,How men feel about abortion,Sao Tome and Principe
"men,divorce","men,divorce,Sao Tome and Principe",Summarize what most men in Sao Tome and Principe think of divorce.,How men feel about divorce,Sao Tome and Principe
"women,abortion","women,abortion,Sao Tome and Principe",Summarize what most women in Sao Tome and Principe think of abortion.,How women feel about abortion,Sao Tome and Principe
"women,divorce","women,divorce,Sao Tome and Principe",Summarize what most women in Sao Tome and Principe think of divorce.,How women feel about divorce,Sao Tome and Principe
"men,abortion","men,abortion,Suriname",Summarize what most men in Suriname think of abortion.,How men feel about abortion,Suriname
"men,divorce","men,divorce,Suriname",Summarize what most men in Suriname think of divorce.,How men feel about divorce,Suriname
"women,abortion","women,abortion,Suriname",Summarize what most women in Suriname think of abortion.,How women feel about abortion,Suriname
"women,divorce","women,divorce,Suriname",Summarize what most women in Suriname think of divorce.,How women feel about divorce,Suriname
"men,abortion","men,abortion,Slovakia",Summarize what most men in Slovakia think of abortion.,How men feel about abortion,Slovakia
"men,divorce","men,divorce,Slovakia",Summarize what most men in Slovakia think of divorce.,How men feel about divorce,Slovakia
"women,abortion","women,abortion,Slovakia",Summarize what most women in Slovakia think of abortion.,How women feel about abortion,Slovakia
"women,divorce","women,divorce,Slovakia",Summarize what most women in Slovakia think of divorce.,How women feel about divorce,Slovakia
"men,abortion","men,abortion,Slovenia",Summarize what most men in Slovenia think of abortion.,How men feel about abortion,Slovenia
"men,divorce","men,divorce,Slovenia",Summarize what most men in Slovenia think of divorce.,How men feel about divorce,Slovenia
"women,abortion","women,abortion,Slovenia",Summarize what most women in Slovenia think of abortion.,How women feel about abortion,Slovenia
"women,divorce","women,divorce,Slovenia",Summarize what most women in Slovenia think of divorce.,How women feel about divorce,Slovenia
"men,abortion","men,abortion,Sweden",Summarize what most men in Sweden think of abortion.,How men feel about abortion,Sweden
"men,divorce","men,divorce,Sweden",Summarize what most men in Sweden think of divorce.,How men feel about divorce,Sweden
"women,abortion","women,abortion,Sweden",Summarize what most women in Sweden think of abortion.,How women feel about abortion,Sweden
"women,divorce","women,divorce,Sweden",Summarize what most women in Sweden think of divorce.,How women feel about divorce,Sweden
"men,abortion","men,abortion,Swaziland",Summarize what most men in Swaziland think of abortion.,How men feel about abortion,Swaziland
"men,divorce","men,divorce,Swaziland",Summarize what most men in Swaziland think of divorce.,How men feel about divorce,Swaziland
"women,abortion","women,abortion,Swaziland",Summarize what most women in Swaziland think of abortion.,How women feel about abortion,Swaziland
"women,divorce","women,divorce,Swaziland",Summarize what most women in Swaziland think of divorce.,How women feel about divorce,Swaziland
"men,abortion","men,abortion,Seychelles",Summarize what most men in Seychelles think of abortion.,How men feel about abortion,Seychelles
"men,divorce","men,divorce,Seychelles",Summarize what most men in Seychelles think of divorce.,How men feel about divorce,Seychelles
"women,abortion","women,abortion,Seychelles",Summarize what most women in Seychelles think of abortion.,How women feel about abortion,Seychelles
"women,divorce","women,divorce,Seychelles",Summarize what most women in Seychelles think of divorce.,How women feel about divorce,Seychelles
"men,abortion","men,abortion,Syria",Summarize what most men in Syria think of abortion.,How men feel about abortion,Syria
"men,divorce","men,divorce,Syria",Summarize what most men in Syria think of divorce.,How men feel about divorce,Syria
"women,abortion","women,abortion,Syria",Summarize what most women in Syria think of abortion.,How women feel about abortion,Syria
"women,divorce","women,divorce,Syria",Summarize what most women in Syria think of divorce.,How women feel about divorce,Syria
"men,abortion","men,abortion,Chad",Summarize what most men in Chad think of abortion.,How men feel about abortion,Chad
"men,divorce","men,divorce,Chad",Summarize what most men in Chad think of divorce.,How men feel about divorce,Chad
"women,abortion","women,abortion,Chad",Summarize what most women in Chad think of abortion.,How women feel about abortion,Chad
"women,divorce","women,divorce,Chad",Summarize what most women in Chad think of divorce.,How women feel about divorce,Chad
"men,abortion","men,abortion,Togo",Summarize what most men in Togo think of abortion.,How men feel about abortion,Togo
"men,divorce","men,divorce,Togo",Summarize what most men in Togo think of divorce.,How men feel about divorce,Togo
"women,abortion","women,abortion,Togo",Summarize what most women in Togo think of abortion.,How women feel about abortion,Togo
"women,divorce","women,divorce,Togo",Summarize what most women in Togo think of divorce.,How women feel about divorce,Togo
"men,abortion","men,abortion,Thailand",Summarize what most men in Thailand think of abortion.,How men feel about abortion,Thailand
"men,divorce","men,divorce,Thailand",Summarize what most men in Thailand think of divorce.,How men feel about divorce,Thailand
"women,abortion","women,abortion,Thailand",Summarize what most women in Thailand think of abortion.,How women feel about abortion,Thailand
"women,divorce","women,divorce,Thailand",Summarize what most women in Thailand think of divorce.,How women feel about divorce,Thailand
"men,abortion","men,abortion,Tajikistan",Summarize what most men in Tajikistan think of abortion.,How men feel about abortion,Tajikistan
"men,divorce","men,divorce,Tajikistan",Summarize what most men in Tajikistan think of divorce.,How men feel about divorce,Tajikistan
"women,abortion","women,abortion,Tajikistan",Summarize what most women in Tajikistan think of abortion.,How women feel about abortion,Tajikistan
"women,divorce","women,divorce,Tajikistan",Summarize what most women in Tajikistan think of divorce.,How women feel about divorce,Tajikistan
"men,abortion","men,abortion,Turkmenistan",Summarize what most men in Turkmenistan think of abortion.,How men feel about abortion,Turkmenistan
"men,divorce","men,divorce,Turkmenistan",Summarize what most men in Turkmenistan think of divorce.,How men feel about divorce,Turkmenistan
"women,abortion","women,abortion,Turkmenistan",Summarize what most women in Turkmenistan think of abortion.,How women feel about abortion,Turkmenistan
"women,divorce","women,divorce,Turkmenistan",Summarize what most women in Turkmenistan think of divorce.,How women feel about divorce,Turkmenistan
"men,abortion","men,abortion,East Timor",Summarize what most men in East Timor think of abortion.,How men feel about abortion,East Timor
"men,divorce","men,divorce,East Timor",Summarize what most men in East Timor think of divorce.,How men feel about divorce,East Timor
